GameId,UserId,Score
4,6,14
1,6,9
5,12,14
3,28,13
3,75,12
4,83,83
2,66,75
3,30,88
3,6,83
2,78,20
3,9,18
5,30,66
5,30,64
5,63,32
4,12,14
4,4,48
5,38,30
3,53,58
2,7,25
2,59,53
2,75,45
4,5,89
5,15,43
3,20,8
4,19,28
2,31,43
5,8,66
2,21,20
1,97,21
1,96,26
2,14,66
1,11,93
5,35,59
2,4,20
4,1,65
1,4,70
1,59,43
5,89,39
3,21,23
2,59,18
3,16,84
5,80,29
2,3,33
3,89,34
4,42,22
2,18,4
1,16,81
2,7,1
1,51,97
3,61,93
2,46,72
3,13,87
5,80,85
4,83,19
1,31,37
5,53,94
5,99,42
4,33,99
5,7,65
1,78,11
2,77,68
5,51,87
2,21,2
4,92,80
4,91,88
3,68,18
1,85,11
1,56,5
1,41,80
3,16,71
2,90,12
1,37,15
5,85,67
4,53,99
2,67,97
1,13,38
4,50,51
4,36,29
2,83,36
2,6,54
4,53,45
3,48,70
5,5,43
1,46,19
1,45,60
1,17,18
5,13,41
5,28,30
1,16,35
4,33,63
5,93,50
4,22,6
1,25,41
1,2,67
1,19,29
3,4,51
4,55,37
2,3,81
4,76,15
1,35,23
4,90,90
1,29,54
5,79,41
1,64,41
4,38,89
4,43,48
1,25,92
2,91,28
5,14,82
4,52,49
4,47,32
1,86,54
5,89,27
4,15,15
5,72,10
3,76,32
4,71,97
3,59,49
4,4,85
2,36,91
5,81,63
3,43,86
3,34,51
1,24,52
3,88,56
2,69,57
1,70,65
1,2,26
2,44,96
4,5,8
2,99,42
4,96,56
2,18,51
5,69,77
4,81,86
4,21,62
3,94,34
1,37,50
3,77,96
3,9,79
2,90,25
2,93,6
4,79,10
2,9,19
3,8,2
4,21,23
3,63,62
3,69,88
3,12,42
4,2,84
3,5,97
2,82,13
5,27,10
2,35,9
4,56,1
5,88,46
4,84,65
1,83,44
3,14,49
2,1,31
3,69,88
5,53,23
1,73,53
4,96,33
4,67,61
1,11,43
5,31,58
2,82,23
1,15,19
4,45,99
1,60,56
2,29,29
2,81,59
4,73,54
5,87,25
3,37,17
1,26,47
3,23,49
3,97,92
4,86,47
1,39,51
1,46,28
2,22,90
5,10,72
3,22,18
2,42,98
1,16,68
5,41,15
1,19,61
2,64,20
3,40,36
1,64,54
2,7,39
4,55,65
5,59,13
1,30,25
3,39,44
1,42,15
2,47,38
5,94,72
1,81,20
1,85,53
1,35,3
4,38,89
2,99,82
5,43,11
1,77,46
2,93,9
4,83,37
3,99,68
5,77,30
2,42,45
1,78,6
1,28,46
2,79,50
4,21,34
3,93,38
2,85,10
2,29,63
2,9,29
5,51,71
4,7,20
2,100,1
2,58,76
2,43,4
3,64,73
4,78,12
3,15,73
5,93,46
3,53,28
1,42,8
3,69,82
1,18,43
2,32,1
3,45,58
5,36,99
4,44,83
3,91,9
4,69,2
4,48,54
1,24,87
2,13,98
5,60,3
1,96,29
2,53,74
5,77,19
5,18,69
2,9,72
4,4,52
4,32,40
4,72,68
1,56,65
2,87,83
4,32,66
3,7,19
5,80,89
2,68,53
3,38,96
5,14,18
2,4,60
5,12,50
4,24,48
3,47,46
1,45,20
4,3,70
2,57,75
2,63,76
1,48,51
5,70,54
3,84,12
3,78,80
5,99,10
3,6,80
4,42,31
1,75,36
5,30,82
5,96,24
3,58,89
3,64,97
1,69,99
2,58,28
3,38,21
3,26,97
5,21,73
4,56,52
4,60,76
5,60,64
1,59,66
1,55,35
2,97,60
4,51,73
5,97,27
1,49,79
5,58,62
4,47,35
3,38,72
4,50,90
5,47,35
1,8,8
2,36,60
2,52,17
4,85,52
5,27,73
4,76,11
2,29,51
5,6,100
5,77,11
4,32,97
3,9,94
5,36,30
2,54,12
1,80,64
1,47,13
2,18,39
1,10,97
4,38,11
4,27,63
4,66,37
3,63,14
5,66,36
5,70,8
3,60,98
5,62,69
5,15,60
2,99,80
5,26,50
5,7,76
3,34,68
5,19,41
5,72,92
5,42,4
5,78,85
2,87,77
5,31,61
1,91,58
2,100,98
4,65,42
2,20,15
1,48,72
3,50,6
1,97,9
1,92,100
5,59,27
1,12,18
3,26,73
4,63,95
2,31,30
2,19,94
2,86,73
5,28,66
3,33,43
4,69,62
4,66,33
3,60,68
2,27,9
2,65,20
4,98,38
5,66,31
2,4,16
4,32,26
3,66,14
2,41,80
5,48,28
1,25,7
3,96,34
2,42,95
1,59,26
1,9,42
1,39,84
4,84,39
2,48,12
3,60,92
5,93,75
5,62,45
1,2,58
2,27,54
5,60,73
1,9,14
5,9,56
5,23,60
2,75,38
1,33,49
4,71,87
1,61,55
5,54,92
5,20,98
5,25,94
4,58,58
2,56,99
2,69,99
1,97,72
3,16,51
1,4,11
5,24,95
3,56,65
2,59,23
1,43,6
3,75,95
5,3,22
4,74,62
5,46,64
1,35,11
3,70,42
1,2,97
5,45,41
5,53,78
4,7,100
3,86,95
5,17,38
2,4,50
2,97,71
2,51,25
1,99,54
2,14,8
2,55,67
5,97,96
2,11,74
5,85,38
2,49,18
2,68,65
1,44,22
2,1,60
4,82,45
3,24,98
4,13,53
5,97,76
4,53,69
1,11,76
3,29,48
2,86,95
5,43,3
3,65,15
4,96,62
4,49,97
2,62,95
2,89,75
5,55,54
5,32,7
1,94,77
1,84,55
4,23,73
5,47,39
3,53,66
2,14,7
3,38,66
2,23,19
4,55,43
1,87,74
1,54,85
3,23,74
4,66,18
4,95,29
4,7,97
3,80,76
1,66,93
1,27,68
2,39,16
1,97,83
5,26,23
5,13,87
4,12,11
2,5,11
2,44,23
4,65,80
3,68,87
1,13,1
2,95,53
5,89,85
2,53,59
4,9,84
1,21,49
5,86,46
5,38,29
5,71,59
2,78,23
2,59,80
5,35,28
1,17,14
2,85,25
5,55,30
5,87,52
3,11,52
4,26,91
5,11,59
3,53,99
4,5,94
2,69,64
1,44,52
3,90,97
4,77,85
1,98,27
1,85,91
3,67,46
1,72,97
4,20,76
1,3,13
4,41,31
2,48,92
4,25,89
4,90,51
4,6,96
4,34,17
5,98,12
2,3,91
3,78,30
4,41,82
2,24,66
3,95,41
3,71,47
2,10,65
1,66,36
3,22,35
4,7,24
4,17,9
1,60,68
4,14,39
3,73,69
3,66,80
3,45,89
5,7,76
2,20,72
3,61,73
3,89,66
5,46,7
4,98,97
5,26,7
5,40,39
5,38,46
5,10,45
1,28,91
3,49,78
4,40,16
4,25,4
1,34,84
4,34,60
4,90,29
2,29,51
3,39,86
4,9,57
2,13,24
1,80,11
1,55,73
4,82,97
5,12,6
2,28,48
4,71,69
5,99,43
3,7,98
2,37,96
1,66,88
4,15,99
1,13,55
5,82,28
4,95,18
2,41,50
3,94,60
3,8,47
5,48,24
4,99,89
3,61,41
3,36,6
1,31,21
5,32,10
3,6,40
4,94,75
5,58,86
1,29,45
2,49,53
3,14,84
1,56,89
5,91,12
4,14,91
2,21,62
1,43,34
3,92,50
3,37,22
3,13,40
5,70,79
3,87,65
1,36,21
1,34,18
3,19,67
2,99,79
4,20,5
4,24,84
4,95,91
5,64,74
1,16,92
1,1,2
2,58,31
1,64,98
3,79,9
5,24,25
3,35,85
5,50,58
4,3,96
3,52,24
3,85,43
1,98,98
2,33,54
1,59,64
4,26,99
1,51,89
4,10,2
1,97,87
4,53,81
4,61,86
5,92,78
2,12,29
2,47,99
3,72,92
1,2,72
4,92,83
3,72,9
1,80,81
1,1,38
4,52,40
1,85,32
1,24,95
5,25,32
5,79,99
5,72,16
5,88,34
2,79,24
4,76,93
1,45,99
3,39,18
1,6,30
3,94,9
4,96,35
4,30,86
5,77,50
1,52,13
3,10,94
5,36,58
1,64,97
2,56,5
3,51,5
2,19,28
4,5,28
3,30,26
3,30,21
1,9,93
4,88,32
2,17,74
4,24,37
2,14,18
2,80,46
5,4,88
4,40,13
5,89,24
3,80,24
2,66,65
4,91,35
5,32,64
3,4,91
5,30,25
4,78,30
3,49,44
4,75,80
3,5,72
4,98,63
2,84,7
3,18,28
5,76,22
1,87,8
2,39,66
2,29,85
3,79,34
3,42,66
3,83,43
5,16,98
5,18,75
4,22,85
3,56,94
2,56,21
5,31,50
5,87,87
1,88,12
5,64,55
3,63,88
4,92,1
2,12,31
2,72,15
2,33,65
3,11,54
5,36,23
3,3,74
1,45,87
5,34,34
1,89,59
1,52,96
2,35,50
5,23,30
4,47,83
1,6,67
4,89,87
2,22,66
4,42,79
4,50,4
4,24,70
1,95,100
2,77,76
2,82,52
4,44,14
3,8,49
2,42,30
5,22,6
3,31,96
5,15,76
3,27,80
4,5,24
2,14,55
4,69,18
3,1,40
1,96,76
3,16,10
3,6,58
5,4,60
4,88,7
3,91,47
1,100,36
3,75,19
2,75,40
5,2,50
1,60,63
2,11,24
5,73,6
1,56,92
2,16,62
5,6,62
3,18,81
4,4,35
3,91,24
2,33,79
4,29,15
4,87,89
3,82,53
1,49,49
2,9,43
5,93,36
3,96,36
4,19,89
1,82,90
1,15,87
2,53,38
5,28,60
5,81,98
2,19,90
5,48,19
5,50,24
3,43,14
3,55,45
5,42,7
2,3,56
2,2,40
3,64,19
5,27,81
3,72,55
3,21,81
4,43,62
2,63,90
5,74,60
3,65,57
3,33,11
4,45,89
1,55,77
3,91,44
5,15,22
5,61,68
1,90,43
5,56,65
5,14,83
3,13,39
2,51,14
1,33,4
2,80,42
3,49,44
1,17,61
1,32,81
5,58,64
5,79,97
4,32,15
4,24,97
1,32,16
5,34,31
4,17,28
1,100,21
2,15,40
1,35,66
3,10,35
5,52,91
2,92,28
1,50,1
2,68,50
2,56,51
3,99,69
4,29,36
2,52,78
5,2,8
2,3,2
4,27,13
4,79,30
1,80,77
2,87,24
2,61,53
4,31,90
3,42,99
2,67,96
4,7,73
4,8,88
3,23,20
5,13,76
1,55,55
2,57,31
4,47,92
1,1,67
1,40,38
5,92,3
4,40,89
1,94,8
3,9,53
5,84,69
4,15,8
4,27,60
5,64,43
5,1,78
2,31,90
2,49,13
3,33,22
3,57,80
3,60,72
1,37,95
1,6,26
1,95,76
1,41,47
5,33,83
2,52,38
2,80,20
5,71,25
3,38,14
5,73,90
1,96,84
5,46,53
4,63,22
2,42,48
2,42,85
3,34,57
2,98,27
4,72,96
4,91,71
3,20,9
4,36,62
5,7,9
2,21,85
5,74,52
2,50,39
1,21,8
2,43,83
2,78,67
2,41,39
4,5,62
4,82,68
3,27,28
3,63,66
2,16,5
5,26,44
3,50,95
4,32,9
4,63,26
2,98,13
3,99,59
5,54,91
1,74,36
2,16,87
1,51,12
4,77,57
3,39,21
3,22,12
4,1,80
1,58,95
3,32,83
3,68,43
2,52,95
5,10,54
1,100,84
4,59,58
4,51,75
3,91,57
3,12,10
1,36,26
2,5,25
3,50,15
2,31,3
2,1,22
2,13,92
4,94,24
1,88,83
1,97,21
2,46,72
2,9,86
3,31,54
4,81,81
2,66,38
5,38,62
1,28,47
4,49,84
1,93,89
2,77,39
1,33,37
4,50,92
1,1,62
4,71,21
1,34,23
4,33,48
2,26,53
1,84,67
2,60,21
4,26,88
4,21,69
2,96,12
3,46,26
2,26,37
4,24,78
2,69,52
1,28,14
3,67,97
1,31,87
2,99,23
3,34,8
4,51,74
2,83,35
4,81,97
3,2,58
1,65,55
5,24,72
4,40,61
1,32,22
2,61,80
2,94,18
4,61,59
3,74,68
4,82,47
4,76,41
1,73,6
3,12,88
3,13,61
2,98,16
4,94,20
2,29,8
1,29,81
1,68,90
3,7,66
4,26,26
1,52,93
2,94,22
4,25,93
2,44,1
5,33,70
2,24,29
3,90,7
1,44,91
5,10,64
5,77,43
1,59,53
2,78,99
3,5,96
4,43,8
3,8,40
4,41,84
5,76,36
5,66,66
5,31,81
2,92,92
5,5,53
2,73,88
3,77,13
1,41,12
1,2,8
3,37,73
3,19,30
4,96,99
5,5,26
4,72,52
5,39,14
4,7,33
3,46,20
4,25,56
2,73,75
2,62,3
5,12,13
3,89,71
5,71,60
1,82,67
4,99,97
5,36,8
1,82,11
2,58,69
1,43,85
2,100,79
